ORGANIZAÇÃO;SERVIÇO;NOME FANTASIA;CAPAC.; VALOR MENSAL 
A MÃO COOPERADORA - OBRAS SOCIAIS E EDUCACIONAIS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA MARSILAC - MÃO COOPERADORA;150;49315
A MÃO COOPERADORA - OBRAS SOCIAIS E EDUCACIONAIS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA PONTE SECA;120;43708
A MÃO COOPERADORA - OBRAS SOCIAIS E EDUCACIONAIS;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;CJ ENGENHEIRO MARSILAC;60;32737
A MÃO COOPERADORA - OBRAS SOCIAIS E EDUCACIONAIS ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;AMCOSE;120;41208
A MÃO COOPERADORA - OBRAS SOCIAIS E EDUCACIONAIS ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;0;150;51099
AAEB - ASSOCIAÇÃO DE AMIGOS DOS EXCEPCIONAIS DO BROOKLIN;Núcleo de Apoio a Inclusão Social Para Pessoas com Deficiência II de 7 Anos a 14 Anos e III a Partir de 15 Anos;AAEB;40;24548
AÇÃO COMUNITÁRIA BENEFICENTE DO JARDIM SÃO CARLOS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA ENSINANDO E APRENDENDO / JARDIM SÃO CARLOS;150;49315
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;CENTRO DE DESENVOLVIMENTO SOCIAL E PRODUTIVO PARA ADOLESCENTES, JOVENS E ADULTOS - CEDESP;CEDESP CPA PADRE BELLO;280;142256
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SÃO JOÃO;120;41208
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;JARDIM COLONIAL;120;41208
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;ALTO ALEGRE;60;28373
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;JARDIM LARANJEIRAS;120;41208
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;JARDIM HELENA;60;28373
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SÃO JOSÉ OPERÁRIO;120;41208
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;BOA ESPERANÇA;120;41208
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA SANTO ADRIANO;120;41208
AÇÃO COMUNITÁRIA PAROQUIAL DO JARDIM COLONIAL PE. EMIR RIGON;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;CPA PE. BELLO;120;43653
AÇÃO COMUNITARIA SÃO BENEDITO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SÃO BENEDITO;180;55129
AÇÃO COMUNITÁRIA SÃO JOSÉ OPERÁRIO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SÃO JOSÉ OPERÁRIO;180;60037
AÇÃO COMUNITÁRIA SÃO JOSÉ OPERÁRIO;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF JOSÉ BONIFÁCIO;1000;66763
AÇÃO COMUNITÁRIA SÃO JOSÉ OPERÁRIO;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;SÃO JOSÉ OPERÁRIO;60;32737
AÇÃO COMUNITÁRIA SENHOR SANTO CRISTO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SENHOR SANTO CRISTO;180;60037
AÇÃO COMUNITÁRIA SENHOR SANTO CRISTO;MEDIDAS SÓCIO EDUCATIVAS EM MEIO ABERTO;MSE / MA BELA VISTA;105;64592
AÇÃO COMUNITÁRIA SENHOR SANTO CRISTO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA BARRO BRANCO;60;28373
AÇÃO COMUNITÁRIA SENHOR SANTO CRISTO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA VILA YOLANDA;120;46208
AÇÃO COMUNITÁRIA SENHOR SANTO CRISTO;MEDIDAS SÓCIO EDUCATIVAS EM MEIO ABERTO;0;60;42010
AÇÃO COMUNITÁRIA SENHOR SANTO CRISTO;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF CIDADE TIRADENTES;1000;68412
AÇÃO COMUNITÁRIA SENHOR SANTO CRISTO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA JARDIM MARAVILHA;60;27529
AÇÃO COMUNITÁRIA SENHOR SANTO CRISTO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA SETOR G ;120;43899
AÇÃO COMUNITÁRIA TODOS IRMÃOS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;PARQUE BELÉM;240;72872
AÇÃO COMUNITÁRIA TODOS IRMÃOS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA TODOS IRMÃOS;120;46208
AÇÃO COMUNITÁRIA TODOS IRMÃOS;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF ELISA MARIA;1000;68127
AÇÃO COMUNITÁRIA TODOS IRMÃOS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;ANA MARIA;120;41208
AÇÃO SOCIAL CAPELA DA SANTA CRUZ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;PARQUE DE TAIPAS;150;49315
AÇÃO SOCIAL CAPELA DA SANTA CRUZ;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;JARDIM PIRITUBA;150;49315
AÇÃO SOCIAL COMUNITÁRIA DO LAJEADO JOILSON DE JESUS;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;CJ CASA DOS MENINOS I;120;43653
AÇÃO SOCIAL COMUNITÁRIA DO LAJEADO JOILSON DE JESUS;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;CASA DOS MENINOS II ;60;32737
AÇÃO SOCIAL COMUNITÁRIA DO LAJEADO JOILSON DE JESUS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CASA DOS MENINOS III;180;57505
AÇÃO SOCIAL COMUNITÁRIA DO LAJEADO JOILSON DE JESUS;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;CASA DOS MENINOS III;120;41965
AÇÃO SOCIAL COMUNITÁRIA DO LAJEADO JOILSON DE JESUS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA CASA DOS MENINOS II;210;66365
AÇÃO SOCIAL COMUNITÁRIA DO LAJEADO JOILSON DE JESUS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA CASA DOS MENINOS I;300;89086
AÇÃO SOCIAL LARGO 13;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;AÇÃO SOCIAL LARGO 13;90;31445
AÇÃO SOCIAL LARGO 13;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;0;60;29070
AÇÃO SOCIAL PADRE PASCHOAL  BIANCO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;PASCHOAL BIANCO;90;34701
AÇÃO SOCIAL PADRE PASCHOAL  BIANCO;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;ZUMBI DOS PALMARES;90;34701
AÇÃO SOCIAL PADRE PASCHOAL  BIANCO;MEDIDAS SÓCIO EDUCATIVAS EM MEIO ABERTO;MSE - MA VILA CALIFÓRNIA;90;54838
AÇÃO SOCIAL SANTA RITA DE CASSIA;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;SANTA RITA DE CÁSSIA;210;66365
AÇÃO SOCIAL SÃO MATEUS;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA PARQUE DAS FLORES;120;37738
ADERE - ASSOCIAÇÃO PARA DESENVOLVIMENTO, EDUCAÇÃO E RECUPERAÇÃO DO EXCEPCIONAL;Núcleo de Apoio a Inclusão Social Para Pessoas com Deficiência III a Partir de 15 Anos;ADERE;60;37336
ALDEIA DO FUTURO ASSOCIAÇÃO PARA A MELHORIA DA CONDIÇÃO DA POPULAÇÃO CARENTE;SCFV - MODALIDADE CJ: CENTRO PARA A JUVENTUDE COM ATEND. DE ADOLESCENTES E JOVENS DE 15 A 17 ANOS E 11 MESES;ALDEIA DO FUTURO;150;48798
ALDEIA DO FUTURO ASSOCIAÇÃO PARA A MELHORIA DA CONDIÇÃO DA POPULAÇÃO CARENTE;CENTRO DE DESENVOLVIMENTO SOCIAL E PRODUTIVO PARA ADOLESCENTES, JOVENS E ADULTOS - CEDESP;0;240;115173
ALDEIAS INFANTIS SOS BRASIL - ASSOCIAÇÃO NACIONAL;CASA LAR;CASA LAR 1 E CASA LAR 2;20;58599
AME;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA AME;180;60037
AME;SERVIÇO DE ASSISTÊNCIA SOCIAL À FAMÍLIA E PROTEÇÃO SOCIAL BÁSICA NO DOMICÍLIO;SASF AME;1000;64558
AMPARO MATERNAL;CENTRO DE ACOLHIDA PARA GESTANTES, MÃES E BEBÊS;PAVILHÃO IRMÃ LEONI;100;114124
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;SAICA CAMPO GRANDE;20;65678
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;NÚCLEO DE PROTEÇÃO JURÍDICO SOCIAL E APOIO PSICOLÓGICO - NPJ;NPJ MOOCA;120;26803
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CA COMEÇAR DE NOVO;120;82806
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA ESPECIAL PARA MULHERES;SANTO AMARO;80;99917
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA ESPECIAL PARA PESSOAS EM PERÍODO DE CONVALESCÊNÇA;BORACEA;80;175473
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;SERVIÇO ESPECIALIZADO DE ABORDAGEM SOCIAL ÀS PESSOAS EM SITUAÇÃO DE RUA (400 ADULTOS);SEAS BELA VISTA - CONSOLAÇÃO;400;113003
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CENTRO DE ACOLHIDA SÃO MATEUS;150;87580
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CAAII SANTANA;150;104503
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;SÃO MIGUEL PAULISTA;120;97056
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;NOVA CONQUISTA;130;105790
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS I POR 16 HORAS;BARRA FUNDA I;200;76951
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA ÀS PESSOAS EM SITUAÇÃO DE RUA - MODALIDADE: CENTRO DE ACOLHIDA PARA ADULTOS I POR 16 HORAS;0;50;47518
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;BARRA FUNDA II;550;162343
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;SERVIÇO ESPECIALIZADO DE ABORDAGEM SOCIAL ÀS PESSOAS EM SITUAÇÃO DE RUA MODALIDADE SERVIÇO DE APOIO A SOLICITAÇÃO DE ATENDIMENTO À PESSOA EM SITUAÇÃO DE RUA E APOIO A EMERGÊNCIA;0;100% DAS SOLICITAÇÕES DE ABORGAGEM ATENDIDAS;208056
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;SERVIÇO ESPECIALIZADO DE ABORDAGEM SOCIAL ÀS PESSOAS EM SITUAÇÃO DE RUA (50 crianças e 150 adultos);0;200;101060
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;SERVIÇO ESPECIALIZADO DE ABORDAGEM SOCIAL ÀS PESSOAS EM SITUAÇÃO DE RUA (120 crianças e ADOLESCENTES);0;120;69509
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;SERVIÇO DE ACOLHIMENTO INSTITUCIONAL PARA CRIANÇAS E ADOLESCENTES;SAICA NOVO LAR;15;64163
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;REPÚBLICA PARA ADULTOS  ;"UNIDADE I: REPÚBLICA ALFREDO MAIA; UNIDADE II: REPÚBLICA APA";30;7818
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CAII LAJEADO;100;65801
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CENTRO DE ACOLHIDA SANTA CECÍLIA;106;73359
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;CAII24 HORAS JAÇANÃ;150;87580
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;SCFV - MODALIDADE CCA: CENTRO PARA CRIANÇAS E ADOLESCENTES COM ATENDIMENTO DE 06 A 14 ANOS E 11 MESES;CCA BOTURUSSU;120;42817
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;INSTITUIÇÃO DE LONGA PERMANÊNCIA PARA IDOSOS - ILPI;ILPI JAÇANÃ;30;96180
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;PORTO CIDADÃO;150;87580
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;Serviço de Acolhimento Institucional para Crianças e Adolescentes para apoio à central de vagas da SMADS;SAICA MENINO JESUS;20;82190
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;NÚCLEO DE PROTEÇÃO JURÍDICO SOCIAL E APOIO PSICOLÓGICO - NPJ;0;120;26803
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;CENTRO DE ACOLHIDA PARA ADULTOS II POR 24 HORAS;0;150;89059
APOIO - ASSOCIAÇÃO DE AUXÍLIO MÚTUO DA REGIÃO LESTE;Serviço de Acolhimento Institucional para Crianças e Adolescentes para apoio à central de vagas da SMADS;0;20;83868
